City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,petauke,-14.2426,31.3253,296.13,79,100,0.83,ZM,1707667840
108,brisas de zicatela,15.8369,-97.0419,300.13,66,1,2.25,MX,1707667840
109,acapulco de juarez,16.8634,-99.8901,301.05,65,0,0.0,MX,1707667796
110,ust-nera,64.5667,143.2,241.56,99,99,1.66,RU,1707667841
111,saint-joseph,-21.3667,55.6167,299.36,86,35,4.62,RE,1707667841
112,west island,-12.1568,96.8225,302.14,79,40,5.66,CC,1707667841
113,lazaro cardenas,17.9583,-102.2,298.79,66,4,0.37,MX,1707667841
114,humaita,-7.5061,-63.0208,298.7,92,100,1.64,BR,1707667569
115,divino das laranjeiras,-18.7778,-41.4797,301.52,66,57,3.33,BR,1707667841
116,praia da vitoria,38.7333,-27.0667,292.29,88,40,12.0,PT,1707667842
117,la oliva,28.6105,-13.9291,294.77,73,20,6.17,ES,1707667842
118,nova sintra,14.8667,-24.7167,294.38,67,1,2.2,CV,1707667842
119,vorgashor,67.5833,63.95,244.17,100,100,2.66,RU,1707667842
120,essaouira,31.5125,-9.77,291.81,71,0,3.48,MA,1707667842
121,peace river,56.2501,-117.286,271.25,66,0,3.49,CA,1707667842
122,qaqortoq,60.7167,-46.0333,256.46,74,33,1.8,GL,1707667842
123,pascagoula,30.3658,-88.5561,295.55,95,100,4.12,US,1707667713
124,tura,25.5198,90.2201,288.81,46,15,1.62,IN,1707667843
125,buckhannon,38.994,-80.232,283.62,94,100,0.0,US,1707667843
126,lebu,-37.6167,-73.65,288.18,84,100,8.83,CL,1707667843
127,prince rupert,54.3161,-130.3201,273.2,100,100,2.06,CA,1707667843
128,vila franca do campo,37.7167,-25.4333,291.42,99,97,7.73,PT,1707667843
129,beau vallon,-20.4189,57.6953,300.49,84,9,5.15,MU,1707667843
130,usogorsk,63.4106,48.6872,250.19,100,97,1.55,RU,1707667844
131,bilibino,68.0546,166.4372,240.67,100,100,1.55,RU,1707667844
132,newman,37.3138,-121.0208,279.96,92,10,1.03,US,1707667844
133,east end,34.5507,-92.341,280.75,87,100,1.79,US,1707667844
134,hisarya,42.5,24.7,289.2,69,99,3.71,BG,1707667844
135,northam,51.0333,-4.2167,282.4,86,17,8.11,GB,1707667844
136,zhaotong,27.3167,103.7167,279.66,75,11,1.11,CN,1707667844
137,belmonte,-15.8631,-38.8828,301.29,73,25,3.49,BR,1707667845
138,avarua,-21.2078,-159.775,298.18,94,75,5.14,CK,1707667845
139,muisne,0.6,-80.0333,299.2,90,98,2.93,EC,1707667845
140,debark',13.1561,37.8981,288.96,28,2,1.39,ET,1707667845
141,kapa'a,22.0752,-159.319,293.14,85,75,2.57,US,1707667845
142,fort stockton,30.894,-102.8793,283.18,40,0,6.69,US,1707667845
143,floro,61.5996,5.0328,277.19,70,75,6.69,NO,1707667845
144,nuku'alofa,-21.1333,-175.2,300.34,89,20,4.63,TO,1707667846
145,iskateley,67.6803,53.1512,242.6,100,47,1.79,RU,1707667846
146,east london,-33.0153,27.9116,296.86,63,30,6.94,ZA,1707667846
147,tiksi,71.6872,128.8694,239.33,100,100,1.17,RU,1707667846
148,kolonia,50.9333,6.95,284.75,79,20,2.57,DE,1707667846
149,aasiaat,68.7098,-52.8699,248.29,99,100,5.56,GL,1707667846
150,wailua homesteads,22.0669,-159.378,292.39,85,75,2.57,US,1707667847
151,saldanha,-33.0117,17.9442,294.21,76,0,7.06,ZA,1707667847
152,mil'kovo,55.6078,37.7956,267.37,95,98,4.24,RU,1707667847
153,mount pearl,47.5166,-52.7813,277.77,74,100,1.34,CA,1707667847
154,sirte,31.2089,16.5887,293.73,43,22,0.96,LY,1707667847
155,mallawi,27.7314,30.8417,293.32,21,25,2.56,EG,1707667847
156,mukalla,14.5425,49.1242,297.93,69,1,2.18,YE,1707667847
157,sinabang,2.4803,96.3801,300.52,80,84,0.27,ID,1707667847
158,toledo,39.8333,-4.0,278.66,88,100,3.21,ES,1707667530
159,talara,-4.5772,-81.2719,303.57,62,0,8.23,PE,1707667848
160,ribeira grande,38.5167,-28.7,291.91,88,40,9.26,PT,1707667848
161,fortuna,40.5982,-124.1573,280.74,97,100,4.12,US,1707667848
